Date,value
1990-10-01,14.25
1991-01-01,16.42
1991-04-01,19.34
1991-07-01,21.76
1991-10-01,24.57
1992-01-01,25.25
1992-04-01,24.34
1992-07-01,23.52
1992-10-01,21.93
1993-01-01,22.12
1993-04-01,22.77
1993-07-01,21.96
1993-10-01,21.37
1994-01-01,21.21
1994-04-01,17.89
1994-07-01,16.77
1994-10-01,15.44
1995-01-01,14.45
1995-04-01,14.95
1995-07-01,15.98
1995-10-01,17.12
1996-01-01,18.68
1996-04-01,18.74
1996-07-01,17.78
1996-10-01,18.21
1997-01-01,19.54
1997-04-01,19.76
1997-07-01,23.48
1997-10-01,23.03
1998-01-01,24.79
1998-04-01,28.53
1998-07-01,29.42
1998-10-01,29.13
1999-01-01,33.34
1999-04-01,32.55
1999-07-01,30.23
1999-10-01,28.29
2000-01-01,27.37
2000-04-01,27.97
2000-07-01,26.64
2000-10-01,28.59
2001-01-01,30.06
2001-04-01,33.96
2001-07-01,42.78
2001-10-01,42.92
2002-01-01,45.76
2002-04-01,40.27
2002-07-01,30.35
2002-10-01,32.1
2003-01-01,28.22
2003-04-01,26.54
2003-07-01,25.67
2003-10-01,21.56
2004-01-01,21.75
2004-04-01,19.72
2004-07-01,19.07
2004-10-01,19.3
2005-01-01,19.58
2005-04-01,18.26
2005-07-01,18.54
2005-10-01,17.26
2006-01-01,17.61
2006-04-01,17.59
2006-07-01,16.25
2006-10-01,16.91
2007-01-01,17.3
2007-04-01,17.46
2007-07-01,18.51
2007-10-01,23.41
2008-01-01,22.83
2008-04-01,26.97
2008-07-01,27.58
2008-10-01,65.1
2009-01-01,120.39
2009-04-01,116.22
2009-07-01,78.75
2009-10-01,20.33
2010-01-01,17.62
2010-04-01,17.69
2010-07-01,15.33
2010-10-01,15.3
2011-01-01,15.82
2011-04-01,16.26
2011-07-01,14.86
2011-10-01,14.41
2012-01-01,14.82
2012-04-01,15.9
2012-07-01,15.95
2012-10-01,16.32
2013-01-01,17.08
2013-04-01,17.57
2013-07-01,17.86
2013-10-01,17.53
2014-01-01,17.68
2014-04-01,18.27
2014-07-01,18.22
2014-10-01,19.72
2015-01-01,20.1
2015-04-01,21.97
2015-07-01,23.21
2015-10-01,24.03
2016-01-01,22.45
2016-04-01,23.76
2016-07-01,24.4
2016-10-01,22.49
2017-01-01,22.72
2017-04-01,22.92
2017-07-01,23.07
2017-10-01,23.44
2018-01-01,24.46
2018-04-01,21.62
2018-07-01,21.6
2018-10-01,20.48
2019-01-01,20.12
2019-04-01,21.78
2019-07-01,22.43
2019-10-01,21.77
2020-01-01,27.73
2020-04-01,29.35
2020-07-01,33.29
2020-10-01,33.28
2021-01-01,28.97
2021-04-01,26.34
2021-07-01,25.06
2021-10-01,23.27
2022-01-01,22.82
2022-04-01,21.49
2022-07-01,22.08
2022-10-01,22.41
2023-01-01,23.27
2023-04-01,23.03
2023-07-01,24.91
2023-10-01,21.79
2024-01-01,25.27
2024-04-01,26.26
